Date,High,Low,Open,Close,Adj Close,Volume
2015-01-02,50.33142853,48.73143005,49.15142822,49.84857178,49.84857178,13475000
2015-01-05,49.25857162,47.14714432,49.25857162,47.31142807,47.31142807,18165000
2015-01-06,47.63999939,45.66143036,47.34714127,46.50143051,46.50143051,16037700
2015-01-07,47.42142868,46.27142715,47.34714127,46.74285889,46.74285889,9849700
2015-01-08,47.83571243,46.47857285,47.11999893,47.77999878,47.77999878,9601900
2015-01-09,48.02000046,46.89857101,47.63142776,47.04142761,47.04142761,9578100
2015-01-12,47.19857025,45.26428604,47.09000015,45.54714203,45.54714203,12944400
2015-01-13,47.04857254,45.90000153,46.02142715,46.25571442,46.25571442,18721500
2015-01-14,47.36999893,45.68000031,47.07143021,46.31999969,46.31999969,19884900
2015-01-15,46.7857132,45.84428787,46.54714203,46.25143051,46.25143051,11669000
2015-01-16,48.25,46.38142776,46.8571434,48.19142914,48.19142914,19696600
2015-01-20,50,47.7142868,48.57143021,49.82857132,49.82857132,40551000
2015-01-21,59.24000168,57.40999985,59.23428726,58.46857071,58.46857071,66902500
2015-01-22,61.37428665,57.82857132,58.57143021,61.20571518,61.20571518,33319300
2015-01-23,62.74285889,60.88142776,60.98857117,62.49428558,62.49428558,26784100
2015-01-26,63.89857101,61.95714188,62.57143021,63.79428482,63.79428482,21268800
2015-01-27,65.33999634,63.04999924,63.08714294,64.88143158,64.88143158,24612700
2015-01-28,64.82142639,63.08142853,64.74143219,63.20857239,63.20857239,24532900
2015-01-29,63.9271431,62.5,63.20428467,63.40000153,63.40000153,15127700
2015-01-30,63.98428726,62.65571213,63.13285828,63.11428452,63.11428452,13215300
2015-02-02,63.42856979,61.95571518,62.84285736,63.00999832,63.00999832,12990600
2015-02-03,65.4671402,62.72999954,63.31999969,65.27428436,65.27428436,16440200
2015-02-04,65.17428589,63.88999939,65.04142761,64.1014328,64.1014328,12450900
2015-02-05,65.13857269,63.66571426,64.54142761,64.12999725,64.12999725,14248500
2015-02-06,64.42857361,63.17571259,64.25,63.47999954,63.47999954,8898400
2015-02-09,63.7857132,62.63714218,63.19857025,63.29571533,63.29571533,8173200
2015-02-10,65.15714264,63.10142899,63.45999908,64.84999847,64.84999847,15418900
2015-02-11,66.14142609,64.55714417,64.83000183,64.98428345,64.98428345,13953100
2015-02-12,65.60713959,64.45143127,65.05857086,65.24714661,65.24714661,8464400
2015-02-13,66.62999725,65.42285919,65.42857361,66.58571625,66.58571625,12968900
2015-02-17,67.37142944,65.94428253,66.51571655,67.137146,67.137146,11170600
2015-02-18,68.06999969,66.64571381,67.02285767,67.86571503,67.86571503,10316600
2015-02-19,68.7142868,67.57428741,67.85713959,67.80000305,67.80000305,10432100
2015-02-20,68.37428284,67.637146,67.94999695,68.31428528,68.31428528,9422000
2015-02-23,68.31428528,67.14286041,68.30000305,67.40571594,67.40571594,9031400
2015-02-24,68.08428955,67.35571289,67.37285614,67.83999634,67.83999634,6075300
2015-02-25,68.79428864,67.80714417,67.80714417,68.33285522,68.33285522,6854400
2015-02-26,69.5,68.43000031,68.62571716,69.00428772,69.00428772,10852800
2015-02-27,69.42857361,67.818573,69.08142853,67.84428406,67.84428406,11516400
2015-03-02,68.60713959,67.23428345,67.7142868,68.60713959,68.60713959,10187100
2015-03-03,68.45714569,67.50714111,68.34428406,67.81571198,67.81571198,7426300
2015-03-04,67.92571259,66.1828537,67.52999878,67.11000061,67.11000061,17453800
2015-03-05,67.4642868,66.41999817,67.42857361,66.80714417,66.80714417,11244800
2015-03-06,66.92571259,64.84428406,66.64286041,64.87428284,64.87428284,12888400
2015-03-09,65.09285736,62.82857132,64.98999786,63.66143036,63.66143036,18970700
2015-03-10,63.35142899,61.98285675,63.01571274,62.15142822,62.15142822,17947300
2015-03-11,63.93999863,62.24000168,62.24000168,62.88428497,62.88428497,16363200
2015-03-12,64.58285522,63.34000015,63.34714127,64.04571533,64.04571533,14654500
2015-03-13,64.05714417,62.36714172,63.90714264,62.62857056,62.62857056,10161200
2015-03-16,61.54714203,59.61999893,61.54714203,60.28142929,60.28142929,26796000
2015-03-17,60.69428635,59.38428497,59.71285629,59.7885704,59.7885704,18428200
2015-03-18,60.65000153,59.29999924,59.73857117,60.44571304,60.44571304,14634900
2015-03-19,61.2114296,60.25571442,60.45999908,60.74428558,60.74428558,11449900
2015-03-20,61.7857132,60.89571381,61.33714294,61.18571472,61.18571472,13641600
2015-03-23,61.15571213,60.33000183,60.88999939,60.7142868,60.7142868,7664300
2015-03-24,63.09857178,61.11857224,61.13571548,62.61142731,62.61142731,16888900
